cid,has_tcmsp_mapping,herb_count,herb_names,tcmsp_mol_id_count,tcmsp_mol_ids,unique_edge_count,evidence_tiers,provenance_status
9007,1,1,徐长卿,1,MOL005614,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
9015,1,5,三七 | 火麻仁 | 竹沥 | 银杏叶 | 黄芩,1,MOL004464,5,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
9025,1,2,仙茅 | 桑寄生,1,MOL000718,2,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
9064,1,41,仙鹤草 | 余甘子 | 儿茶 | 八角茴香 | 南蛇藤果 | 大枣 | 拳参 | 杜仲叶 | 桂枝 | 水红花子 | 沙棘 | 牡丹皮 | 猕猴桃根 | 白果 | 白芍 | 白蔹 | 石榴皮 | 紫苏 | 罗布麻叶 | 翻白草 | 芫荽 | 苎麻根 | 苦丁茶 | 苦杏仁 | 萹蓄 | 葱白 | 虎杖 | 虎耳草 | 贯叶金丝桃 | 赤小豆 | 赤芍 | 金荞麦 | 银杏叶 | 香薷 | 马钱子 | 骨碎补 | 鸡血藤 | 麦芽 | 麻黄 | 麻黄根 | 黑芝麻,1,MOL000492,41,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
9154,1,4,红花 | 虎耳草 | 银杏叶 | 零陵香,1,MOL002681,4,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
9161,1,2,山茱萸 | 零陵香,1,MOL005539,2,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
9196,1,1,木香,1,MOL010813,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
9215,1,1,白术,1,MOL000038,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
9223,1,1,降香,1,MOL002970,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
9225,1,2,木棉花 | 紫苏,1,MOL008769,2,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
9231,1,6,三七花 | 石菖蒲 | 紫苏 | 罗汉果 | 茺蔚子 | 薄荷,1,MOL000884,6,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
9233,1,2,前胡 | 紫花前胡,1,MOL013106,2,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
9238,1,2,荔枝核 | 荷叶,1,MOL007209,2,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
9264,1,1,大蒜,1,MOL008357,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
9268,1,3,白芷 | 细辛 | 银杏叶,1,MOL005787,3,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
9294,1,4,半夏 | 苦参 | 麻黄 | 麻黄根,1,MOL006594,4,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
9309,1,1,威灵仙,1,MOL005602,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
9727,1,4,枳壳 | 枳实 | 石上柏 | 香橼,1,MOL007561,4,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
9862,1,27,凌霄花 | 升麻 | 安息香 | 巴戟天 | 干姜 | 枇杷叶 | 桂枝 | 桑叶 | 梅花 | 沙棘 | 灵芝 | 玫瑰花 | 生姜 | 紫苏 | 罗布麻叶 | 肉桂 | 芫荽 | 荜澄茄 | 菊花 | 蚕沙 | 辛夷 | 辣椒 | 金银花 | 银杏叶 | 零陵香 | 高良姜 | 麻黄,1,MOL002496,27,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
9895,1,10,南蛇藤果 | 昆布 | 杜仲叶 | 桑寄生 | 番泻叶 | 瞿麦 | 罗布麻叶 | 零陵香 | 青果 | 麻黄,1,MOL000722,10,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
9958,1,1,洋金花,1,MOL011471,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10041,1,1,常山,1,MOL008192,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10102,1,4,红参 | 花椒 | 鱼腥草 | 麻黄,1,MOL013269,4,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10106,1,5,川芎 | 细辛 | 艾叶 | 荜澄茄 | 麻黄,1,MOL002185,5,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10108,1,2,南蛇藤果 | 西红花,1,MOL001416,2,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10114,1,2,甘草 | 鸡骨草,1,MOL004804,2,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10133,1,1,牛黄,1,MOL008842,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10140,1,2,牛黄 | 黑豆,1,MOL008848,2,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10141,1,1,细辛,1,MOL012145,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10143,1,2,白屈菜 | 白药子,1,MOL001467,2,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10146,1,3,大枣 | 荷叶 | 莲子心,1,MOL007213,3,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10149,1,1,鸦胆子,1,MOL008063,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10153,1,1,延胡索,1,MOL004197,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10154,1,1,乌药,1,MOL010917,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10163,1,1,茜草,1,MOL006170,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10168,1,7,决明子 | 大黄 | 沙棘 | 牵牛子 | 番泻叶 | 萱草根 | 虎杖,1,MOL002268,7,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10189,1,1,丁香,1,MOL013210,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10207,1,9,决明子 | 大黄 | 木蝴蝶 | 猕猴桃根 | 芦荟 | 苍耳子 | 萱草根 | 薄荷 | 鸡血藤,1,MOL000471,9,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10211,1,2,白芷 | 防风,1,MOL005786,2,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10212,1,13,前胡 | 北沙参 | 小茴香 | 枳实 | 栀子 | 独活 | 白芷 | 紫花前胡 | 羌活 | 芫荽 | 蛇床子 | 覆盆子 | 防风,1,MOL001941,13,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10225,1,14,三七 | 南沙参 | 厚朴 | 垂盆草 | 斑蝥 | 木棉花 | 桂枝 | 椿皮 | 满山红 | 矮地茶 | 肉桂 | 西河柳 | 香附 | 高良姜,1,MOL001862,14,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10227,1,1,花椒,1,MOL013271,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10228,1,9,仙鹤草 | 佩兰 | 前胡 | 天山雪莲 | 独活 | 白芷 | 紫苏 | 蛇床子 | 防风,1,MOL000614,9,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10237,1,4,夏天无 | 延胡索 | 苦地丁 | 连翘,1,MOL000791,4,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10248,1,19,丁香 | 人参 | 凌霄花 | 化橘红 | 北五味子 | 升麻 | 南鹤虱 | 山茱萸 | 枇杷叶 | 石菖蒲 | 紫苏 | 细辛 | 肉豆蔻 | 荆芥 | 蒿本 | 藁本 | 豆蔻 | 辛夷 | 香薷,1,MOL000269,19,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10254,1,1,当归,1,MOL008262,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10256,1,1,板蓝根,1,MOL001762,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10263,1,3,枇杷叶 | 紫苏 | 黑芝麻,1,MOL009852,3,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
10276,1,1,石菖蒲,1,MOL003558,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
